code,y,q_target,keep_fraction,method
1ac53ac0-8f44-4b74-989c-3daef1d81c63_MALDI1,0,0.9885819065293148,0.1,global_target_like_pruning
772edb6b-8615-436f-8d3c-965829557600_MALDI1,0,0.9816769282768298,0.1,global_target_like_pruning
593ab4b8-c4f9-4815-92fc-b864d3db914e_MALDI2,0,0.9375610602722909,0.1,global_target_like_pruning
6fccf889-ea61-408f-a8b5-be31b8276fbb_MALDI2,0,0.9240058507135221,0.1,global_target_like_pruning
5786e600-3879-4bd1-aded-75300574221d_MALDI1,1,0.8551456894141427,0.1,global_target_like_pruning
027fc0f4-d58c-4463-9e12-adf8735ebf0c_MALDI2,0,0.8319483822583658,0.1,global_target_like_pruning
95e11fd6-fdcd-47d5-90f9-dc060eba1b79_MALDI1,1,0.8051697387717285,0.1,global_target_like_pruning
5c5233d5-a69d-4cad-85d6-84cbf2d861f0_MALDI2,0,0.7754867708014571,0.1,global_target_like_pruning
a631fcf7-819b-49db-9fdd-5a4f2737d137,0,0.7630813887419775,0.1,global_target_like_pruning
fa4008fa-b2a7-4d02-a34c-16c60fa5744f_MALDI2,1,0.7564840738029658,0.1,global_target_like_pruning
131153a8-44b9-4ce6-b4a2-724754771384_MALDI1,0,0.7502250701682409,0.1,global_target_like_pruning
5b255546-99c9-4d1d-975c-aa73645d2943_MALDI2,0,0.7219951353324373,0.1,global_target_like_pruning
51527487-306d-4af6-8d74-b76027c535c6_MALDI1,0,0.6966996850996044,0.1,global_target_like_pruning
0c2d282e-078a-4597-b003-90bb0b09cae2_MALDI2,0,0.6948478549316259,0.1,global_target_like_pruning
c1b602c7-957b-40af-8f2e-257a3c6dfa0d_MALDI1,1,0.6944383203299094,0.1,global_target_like_pruning
2c71b0e2-59ef-4947-a1d7-19114217c93e_MALDI1,0,0.6856087139541307,0.1,global_target_like_pruning
5492f24e-bf78-4de6-aaa3-14d4155bc043_MALDI2,0,0.6724860206282255,0.1,global_target_like_pruning
fa285feb-820c-4b3d-bdce-d29669b330cb_MALDI2,1,0.6434834279289412,0.1,global_target_like_pruning
a2bbc279-a429-40ad-9025-fec841b0085c_MALDI2,0,0.6160425481017188,0.1,global_target_like_pruning
fd693019-92f2-4724-a6de-34f763acabcc_MALDI2,0,0.6143789104995913,0.1,global_target_like_pruning
3925150c-3888-4e8a-81f1-3b7f40136915,0,0.5834455332024469,0.1,global_target_like_pruning
bc325063-d93b-40a8-89b8-c1eba89ccf3d,0,0.5429029939126832,0.1,global_target_like_pruning
a20be2c2-d886-4461-a888-f123be78b55f_MALDI1,0,0.5266108511408659,0.1,global_target_like_pruning
43930894-58ed-41a8-a4bc-d6baba93c59a,0,0.5175127263060928,0.1,global_target_like_pruning
156732c3-1be7-4b76-b110-c0eb4ecaebac_MALDI2,1,0.5164380659956443,0.1,global_target_like_pruning
5c4b911b-44b1-42ee-a021-6cc658d69b94_MALDI1,1,0.5144572909685354,0.1,global_target_like_pruning
9f0a8811-b83a-424b-93a4-eee2a62f07bc,0,0.49732072910019415,0.1,global_target_like_pruning
10bedee2-d6ec-4248-b156-d605ab18cd8e_MALDI1,1,0.4967035968942577,0.1,global_target_like_pruning
0f28e6ae-4c0b-480b-b028-5a80c816f82c_MALDI1,0,0.49441821656890206,0.1,global_target_like_pruning
8addccc2-e48a-4e30-b31c-dda2c4984fc3_MALDI1,0,0.48234886829600354,0.1,global_target_like_pruning
92b334fa-5f88-4020-86be-8dbdd64493e4_MALDI2,0,0.4703712581632928,0.1,global_target_like_pruning
8aaab851-f7e6-4b3a-b77c-9433569fc57f_MALDI1,0,0.46943098917768294,0.1,global_target_like_pruning
f4b5c099-b5b5-4bcb-bce9-18584100a4bf_MALDI1,1,0.4687633150445871,0.1,global_target_like_pruning
b97a4fe4-0165-4214-a9dd-2f0a32bf5027_MALDI2,1,0.46180466376537727,0.1,global_target_like_pruning
e7481bf8-31a7-4e39-b062-3dd58fdcf131_MALDI1,1,0.4543411981919148,0.1,global_target_like_pruning
58002dbb-3ba0-4fbf-ad0e-480de680bd4f_MALDI1,0,0.448114088205335,0.1,global_target_like_pruning
a852e2c8-8fe5-4c1f-a506-0efea72809da_MALDI1,0,0.4404287085708204,0.1,global_target_like_pruning
