code,y,weight,pseudo_low,pseudo_high,clip
029f0abf-1664-424f-88cb-11c9c8af2b11,0,1.2363775,0.1,0.9,2.0
08149af1-10f5-4f02-81d8-3d46d66d4a7a,0,0.13805243,0.1,0.9,2.0
08fe3876-ecee-4ddc-9aa9-a84f605757f7,0,0.048848756,0.1,0.9,2.0
0a9fdd4b-7180-47c0-849e-cb32d46da94c,0,0.052117065,0.1,0.9,2.0
0d82f4c4-473c-49d8-8c85-e3e36e96d047,1,1.0,0.1,0.9,2.0
0f1b40f3-248c-43f5-9dfa-d46f003961b7,0,0.18801424,0.1,0.9,2.0
10f4b28a-f3f3-4ae4-9bc0-586f958637b1,0,0.01595359,0.1,0.9,2.0
137bda86-d8bf-43f6-ba35-1fd8af957c91,0,0.45414534,0.1,0.9,2.0
1aee5e96-b3fb-451f-becc-55e53261212a,0,0.079578616,0.1,0.9,2.0
1ef23f8d-3105-4a77-91ab-7bff93b060f4,0,0.050416686,0.1,0.9,2.0
2e4ea4f9-0762-4d27-8a13-6897b8a8797c,1,1.0,0.1,0.9,2.0
3041d8ce-63b6-4a6a-b112-29abc090ba25,0,0.28937522,0.1,0.9,2.0
33884a4d-9d1c-4383-b8b0-d28db083626b,0,0.03532494,0.1,0.9,2.0
376bbd61-863d-4b5e-9a24-8adfb6423b0d,0,0.025281657,0.1,0.9,2.0
3b3b3d5d-95e6-4ddc-8a68-4c7e92ebdeeb,0,0.014900826,0.1,0.9,2.0
3dd9604c-2b0a-422b-a588-c18f55acac79,1,1.0,0.1,0.9,2.0
3ede29db-1e7e-4e8c-bc20-10f6bc035677,0,0.011449523,0.1,0.9,2.0
4790f1d2-8892-43ea-bea9-65c7515f567a,0,0.03457492,0.1,0.9,2.0
484efd08-2de3-45f0-9430-d88e6c53c32b,0,0.17555022,0.1,0.9,2.0
49eceea6-f184-4ed2-9cf6-e6d411c47f85,0,0.06512788,0.1,0.9,2.0
54c2ede0-cd57-4a3d-b9eb-6ffe90c186a6,1,1.0,0.1,0.9,2.0
567589cc-30c0-4d4d-b130-741273ec57b9,0,0.028846674,0.1,0.9,2.0
578adc3c-90ef-4854-badb-85359b9e609f,0,0.08846142,0.1,0.9,2.0
57bf28b6-6d56-4d34-bd4f-136562fa52d2,0,0.40263158,0.1,0.9,2.0
5a768ee2-b288-48dd-9155-4c1cd8fca101,1,1.0,0.1,0.9,2.0
5c2d7972-41f6-4e72-90df-518fa17ca911,0,0.017868804,0.1,0.9,2.0
6669d043-d10a-46c4-b638-69a6e0f7776a,0,0.021162098,0.1,0.9,2.0
67d4e9ee-df52-4500-aa51-641e3246d8e7,0,0.14299163,0.1,0.9,2.0
6842f06f-156f-491d-aa41-a2c211ac65fc,0,0.08868248,0.1,0.9,2.0
6cab683a-cc5f-47c6-8b10-18e117ccf932,0,0.21004468,0.1,0.9,2.0
6d6f4606-e762-4c91-bcd6-264efb3a536b,0,0.037485834,0.1,0.9,2.0
72e5724f-2a27-4c0c-9b45-4ec36ddf6c53,1,1.0,0.1,0.9,2.0
72fcdc8c-deef-4f37-81c0-317acd9da8fe,1,1.0,0.1,0.9,2.0
