code,cluster,y,p_global,p_routed
28010102990_B12,5,0,0.0364714533088014,0.0015765458783477476
28010102990_D11,1,0,0.026528721387002286,0.028612205409601184
28010102990_D9,1,0,0.049350674771983176,0.0549686270236772
28010105020_C3,1,0,0.001278490514293922,0.0006437375953464951
28010201730_F9,7,0,0.0027222367154944166,0.0027222367154944166
28010202660_A3,1,0,0.024587410278335522,0.07929950541856767
28010205600_E3,2,0,0.00024620454936661066,5.047871625757895e-06
28010305960_A5,1,0,0.002248058439624829,0.0008876185930391409
28010309840_B3,1,0,0.004260837599667501,0.0020896143530503846
28010312660_A10,3,0,0.0013645449594897026,3.195514916110062e-05
28010312830_A8,4,0,0.0006015648066135104,0.0006015648066135104
28010312830_A9,1,0,0.0021365010360479093,0.0024433587933174895
28010401850_B6,1,0,0.04477344470487057,0.03586762192113469
28010411300_C4,2,0,0.0021184196094960407,0.0023715801041893007
28010413780_B1,1,0,0.0065748762367358925,0.0033517074291264867
28010505890_A10,1,0,0.005980478622036384,0.0014160314867794415
28010510170_C10,2,0,0.0004923168172280461,9.551158182502774e-07
28010510180_A2,1,0,0.16231110563289058,0.10473180450818825
28010604540_C6,7,0,0.03377789892155255,0.03377789892155255
28010809230_B6,1,0,0.05510712915431806,0.16989665617376232
28010809230_B7,1,0,0.015956667014626336,0.027835223063416254
28010811270_E4,1,0,0.00935036655583154,0.0016981418760926516
28010811340_E8,4,0,0.005477784164441271,0.005477784164441271
28010811340_E9,1,0,0.0018762831993926312,0.0003167152030068896
28010904980_C10,1,0,0.016255051265308535,0.005649484952203736
28010910430_C6,1,0,0.028844991205825492,0.009712724066660261
28010913110_A2,1,0,0.0010749664101481278,0.00021508495131063936
28011005160_B7,5,0,0.027063633909707584,0.3484923224552555
28011106890_C8,5,0,0.00034112199314725796,0.0002430481214180724
28011503430_C10,5,0,0.007612866585565585,0.03784852074200399
28011503430_D10,5,0,0.002820773925317672,0.011948635268035756
28011503680_D11,1,0,0.007258643787557508,0.004339526219147458
28011509420_F7,1,0,0.029464060279667338,0.04090364390071015
28011509420_F8,5,0,0.030466401918116576,0.011802338985769956
28011511860_C11,5,0,0.010489950589610735,0.0011986768856295947
28011513230_B9,5,0,0.006992228556584293,0.08881956535720169
28011513930_E10,3,0,0.05233519127880077,6.758808151154279e-05
28011513930_E6,3,0,0.04696398354115107,0.0002750920374035985
28011513950_F2,1,0,0.0901613736021316,0.03114534752846664
28011601630_E1,5,1,0.08771513899258963,0.7817113334557545
28011601630_E4,5,1,0.008341528904297709,0.005009118297145755
28011608910_F3,1,0,0.08067908426800643,0.029391172248463136
28011610930_E11,3,0,0.002413933761766127,3.26913273691001e-05
28011612740_D6,5,0,0.0028928711997272994,0.11586316767859313
28011707170_F9,1,0,0.0026335704741913845,0.00047895346193993835
28011802980_C3,2,0,0.0005377205867389961,0.00011760546497216634
28011909270_B10,6,0,0.14640128295976343,0.0012700628015589117
28011909830_F4,1,0,0.0018727050863522217,0.00033007329372940046
28011909830_F5,1,0,0.004246149111794198,0.0023315293051764017
28011910160_D12,1,0,0.0026438019227045147,0.00046131957231858897
28012004610_C7,3,0,0.054919498763642216,0.1159650310077905
28012103010_E5,1,0,0.044367150069900246,0.011599431331115177
28012205590_C3,2,0,0.0038035919926036384,0.0003742102607689918
28012205610_C5,1,0,0.05026553395754107,0.015781611825663355
28012206170_E3,0,0,0.013595960275379572,0.013595960275379572
28012206250_E5,1,0,0.012075570025469119,0.006449928821765162
28012209900_A1,1,0,0.0369799968752048,0.013001983625447227
28012304040_A7,6,0,0.006918405791672326,0.00018868522146246332
28012309730_A12,0,0,0.013720213286810742,0.013720213286810742
28012402400_B5,1,0,0.06647642037469209,0.03527643096462484
28012402430_B6,1,0,0.0020515706593036945,0.006488849262800571
28012603470_C2,1,0,0.010477130430197637,0.01668402088478807
28012608340_D9,2,0,0.00043007039456453676,0.00013610810415520718
28012612620_G9,5,0,0.025632121099607524,0.04039619107547333
28012612620_A10,1,0,0.19321216137667446,0.052622082826901284
28012612620_A11,5,0,0.5664022698320189,0.9049301623890134
28012612620_A12,5,0,0.055201300295229946,0.2277280469035648
28012612630_G10,5,0,0.0727396521835009,0.20811944156985668
28012612630_B1,1,0,0.642793334807006,0.14676593898734142
28012612630_B2,5,0,0.09016470418080827,0.4145107190479898
28012612630_B3,1,0,0.024692122370962008,0.05254180555942869
28012701910_E3,3,0,0.02094262746223169,0.03328319926195458
28012702220_E8,1,0,0.01076321012453763,0.003493138662784251
28012702220_E9,1,0,0.004752472054018431,0.0031909925876644567
28012702670_E11,1,0,0.14879814920653367,0.22191683193651693
28012703350_F7,1,0,0.06018653692977824,0.01711365727561814
28012703350_B5,0,0,0.012097246514265716,0.012097246514265716
28012704350_G9,1,0,0.03502552298881891,0.010976306308510953
28012904720_G12,1,0,0.0020406481174802906,0.00035506409574728926
28012906070_A7,1,0,0.0017342993361966603,0.002672562284130474
28012906350_B1,7,0,0.004353028090388555,0.004353028090388555
28012909350_B8,1,0,0.08779888180750238,0.013006401128420676
28013005400_A9,1,0,0.014343341900623646,0.013224705557146672
28013005820_C12,6,0,0.0007381358482382384,0.009090857170473813
28013008780_B3,1,0,0.04094156439967413,0.0028025713037655403
28013008780_B5,4,0,0.00490506508952801,0.00490506508952801
28013009980_G5,5,1,0.05379473894137978,0.2985273637012134
28013009980_A2,5,1,0.6349919238670256,0.994453725776907
28013010330_B6,1,0,0.0024102545710464568,0.0011518367087436131
28013010860_A4,5,0,0.0404990385390743,0.008198995738181775
28013012980_F10,5,0,0.0016358266174200916,9.113564319903735e-05
28013102900_D1,1,0,0.004475623412110784,0.005269782798349761
28013102900_D2,1,0,0.003111237871882067,0.0017804618101214165
28013106160_D7,1,0,0.0029003336270656166,0.0024374381500222846
28013109040_D12,1,0,0.0016717228675581868,0.0008343390423181227
28013109040_E1,1,0,0.008731771756344438,0.00535143056486778
28020104360_G3,6,0,0.005431839203546023,0.00019926475278979856
28020104550_G4,1,0,0.0013135505714581925,0.00015460991029012921
28020107750_F3,3,0,0.011927598061976316,0.14390275673001643
28020111030_C7,1,0,0.0007717068944226338,0.0003781636516648025
28020112140_F8,1,0,0.19139787975456085,0.016351552158923796
28020112140_G3,1,0,0.21018112613227496,0.025038552532025266
28020112140_G4,5,0,0.37194803249811337,0.06426554785568063
28020203520_A8,1,0,0.0006703632222217464,0.00013726050932786425
28020301940_G5,0,0,0.015331807852076742,0.015331807852076742
28020403780_D6,5,0,0.0006406028980801144,0.0022945676838163676
28020604130_B8,5,0,0.0024071488549792905,0.004415593983964439
28020605530_C11,5,1,0.23123593743757564,0.132625323904377
28020607200_C2,2,0,0.00033982361918890957,2.8190880606899373e-06
28020609610_C3,2,0,0.0002511290485181819,4.072709129293865e-05
28020609610_C4,2,0,0.0006835462173539129,0.0002058962298229841
28020613100_D7,1,0,0.0020794582043008047,0.0012268269817867336
28020702020_D9,1,0,0.005531477570867342,0.00863284301166885
28020706990_F10,5,0,0.035618452166860534,0.008534008883762467
28020706990_F8,1,0,0.005622149478554422,0.0004891323165407345
28020706990_F9,1,0,0.006271238787689551,0.0010916939839638342
28020707160_A7,1,0,0.02997308672895068,0.0344730660660975
28020707160_B8,1,0,0.011975545397970725,0.008585590994924711
28020709380_G9,2,0,0.002424025109960203,0.0021888850870271804
28020711190_E7,5,0,0.11150839688097298,0.01757121927817327
28020806800_E4,3,0,0.07256503250683981,0.06992053279433597
28020813800_D4,3,0,0.002463915977198304,0.00017728622789447746
28020906540_E1,1,0,0.015882408525768048,0.005233435429648632
28020912310_C2,3,0,0.0014648180537514567,0.0060322255829119145
28021003720_C6,1,0,0.06633904293943728,0.06625180681895572
28021102900_G4,2,0,0.00014643149442270336,4.083367457083074e-05
28021102900_G5,2,0,0.00030210528047623956,1.0495774273890891e-05
28021103830_D9,3,0,0.040577841239713947,0.00020700952322827863
28021208530_A5,2,0,0.0033992450067752825,3.545321378240628e-05
28021212000_F7,2,0,0.0010377103062959125,0.00016664943836304063
28021212000_A9,2,0,0.00044653184920193724,7.595374056505768e-05
28021306740_D2,4,0,0.00014983824943114806,0.00014983824943114806
28021306770_D7,5,0,0.005393808498161735,0.035000313353807315
28021310310_E3,2,0,0.0024743208411734294,2.5592990190678966e-06
28021408120_E9,6,0,0.0009231108230316923,0.004526331681177856
28021408650_D8,7,0,0.019726173414904808,0.019726173414904808
28021508990_G5,5,0,0.004780601451639133,0.15023631109238517
28021510270_E7,1,0,0.0017735391662262617,0.0025745998420001175
28021510270_E9,5,0,0.008188451327999181,0.005586700380902947
28021510520_G6,5,0,0.31412275749913027,0.6584877858856132
28021609090_A5,5,0,0.009613895437430516,0.015465697845571962
28021702160_C5,0,0,0.010631092827096438,0.010631092827096438
28021703920_C12,3,0,0.0056366928586576125,0.021346229571423323
28021803690_D1,7,0,0.0014949193897039535,0.0014949193897039535
28021907500_E3,5,0,0.05104414441432746,0.14767305808242873
28021907510_E6,5,0,0.00844187715574266,0.0009152121467225836
28021909350_C4,1,0,0.059029483979251625,0.19242900680677702
28021910050_E10,1,0,0.008181344494711178,0.0013820286817498501
28021913820_F8,2,0,0.00014699279526318238,1.5560471101626046e-05
28022012050_F6,1,0,0.004117436334232194,0.005480399775075165
28022012050_F7,1,0,0.00252587234283043,0.001802383279620029
28022110330_F10,1,0,0.0048495602271168455,0.0027626689058874816
28022112330_B1,5,0,0.002497741330394876,0.009138900279064943
28022207130_F5,5,0,0.007082156706499891,0.003591155694928609
28022209310_C12,1,0,0.019101203452100354,0.013482265339428057
28022209320_D3,3,0,0.008384041615169514,0.002842693273116647
28022209900_F3,6,0,0.0005654328603054991,0.00020768351205937362
28022304000_C1,7,0,0.0011761482198693212,0.0011761482198693212
28022304000_C2,1,0,0.0014722958506628418,0.0010266887405681274
28022304000_C6,7,0,0.0032439642018930273,0.0032439642018930273
28022304000_C7,6,0,0.003059158606899484,0.0008462217269470669
28022406190_D7,6,1,0.03720745465205305,0.06849471207282577
28022503510_E4,6,0,0.0018270665561584704,0.010524352254267432
28022609510_F1,1,0,0.0006633586272242063,0.0011155365356023145
28022611380_D12,5,0,0.10037515098167468,0.04008249123238573
28022713450_B8,3,0,0.05722088041662094,0.00043050140673053414
28022811400_F4,5,0,0.0035001429645691367,0.015011166538699931
28022813710_F6,5,0,0.2860679755342123,0.029825617258650357
28022813780_E1,5,0,0.0021631553377621606,0.06082290693496251
28030110660_G4,2,0,0.00030405684692641076,2.0509382971589018e-05
28030110950_B5,5,0,0.0010640232482535814,0.007702129493769754
28030112010_A12,1,0,0.5575116557324076,0.5252982069954841
28030208990_C7,6,0,0.07964299673600914,0.030485874617888452
28030210960_C5,6,0,0.16266979422711716,0.03229094836303273
28030210960_D10,1,0,0.610654882221082,0.6209741187946579
28030213700_C12,6,0,0.07845164317995167,0.0023894356356297703
28030508420_A11,6,0,0.053290095811619066,0.01008439957658302
28030508930_B1,3,0,0.0003781108390213759,5.161320420810222e-06
28030508930_C9,3,0,0.0004552509006589037,0.0001226044896244503
28030510540_B10,1,0,0.015201183448439935,0.0027303220901888177
28030510540_B9,1,0,0.0014941062865271477,0.0014010821973955275
28030511090_C1,1,0,0.001779606576281243,0.0015109187828405534
